Year,TimePeriod,AreaHarvested
2010,Q1,35.29066711
2010,Q2,274.7093329
2010,Q3,175.9310812
2010,Q4,156.3189188
2011,Q1,35.80442804
2011,Q2,277.195572
2011,Q3,226.2636135
2011,Q4,123.7363865
2012,Q1,33.77533784
2012,Q2,276.2246622
2012,Q3,207.0295973
2012,Q4,134.9704027
2013,Q1,39.40199716
2013,Q2,270.5980028
2013,Q3,215.317915
2013,Q4,120.682085
2014,Q1,42.56809654
2014,Q2,275.4319035
2014,Q3,206.2702766
2014,Q4,133.7297234
2015,Q1,45.85502913
2015,Q2,304.1449709
2015,Q3,151.5040899
2015,Q4,89.49591005
2016,Q1,49.54586874
2016,Q2,362.4541313
2016,Q3,149.8408085
2016,Q4,87.15919152
2017,Q1,53.52517837
2017,Q2,388.4748216
2017,Q3,105.8982499
2017,Q4,67.1017501
2018,Q1,54.48147118
2018,Q2,389.5185288
2018,Q3,106.5141724
2018,Q4,69.48582758
2019,Q1,55.23188734
2019,Q2,391.7681127
2019,Q3,108.1063194
2019,Q4,69.89368059
2020,Q1,54.84694514
2020,Q2,437.1530549
2020,Q3,118.3978115
2020,Q4,61.53218853
2021,Q1,53.60665761
2021,Q2,436.3633424
2021,Q3,112.2803319
2021,Q4,68.21966805
2022,Q1,51.31617762
2022,Q2,434.6838224
2022,Q3,116.6561382
2022,Q4,65.34386183Year,TimePeriod,FarmgatePrices
2010,Q1,4.2
2010,Q2,14.11333333
2010,Q3,29.88666667
2010,Q4,18.81333333
2011,Q1,14.68333333
2011,Q2,6.01
2011,Q3,19.78333333
2011,Q4,30.45666667
2012,Q1,7.803333333
2012,Q2,22.51
2012,Q3,15.44666667
2012,Q4,11.16
2013,Q1,9.146666667
2013,Q2,17.77333333
2013,Q3,24.31333333
2013,Q4,17.55666667
2014,Q1,4.9
2014,Q2,4.723333333
2014,Q3,20.23666667
2014,Q4,9.116666667
2015,Q1,5.046666667
2015,Q2,10.91333333
2015,Q3,15.77666667
2015,Q4,31.69
2016,Q1,14.62333333
2016,Q2,6.356666667
2016,Q3,18.9
2016,Q4,17.70333333
2017,Q1,15.70666667
2017,Q2,10.65
2017,Q3,13.84
2017,Q4,23.03333333
2018,Q1,13.35
2018,Q2,17.34666667
2018,Q3,37.27
2018,Q4,25.86666667
2019,Q1,10.44
2019,Q2,15.92333333
2019,Q3,25.35333333
2019,Q4,20.36666667
2020,Q1,16.18
2020,Q2,11.6
2020,Q3,19.67
2020,Q4,38.80333333
2021,Q1,36.70666667
2021,Q2,10.99
2021,Q3,25.59666667
2021,Q4,15.73
2022,Q1,26.53
2022,Q2,29.80333333
2022,Q3,18.51
2022,Q4,36.18Year,TimePeriod,VolumeProduction
2010,Q1,757.85
2010,Q2,5899.25
2010,Q3,900.37
2010,Q4,800
2011,Q1,775
2011,Q2,6000
2011,Q3,926
2011,Q4,506.4
2012,Q1,645
2012,Q2,5275
2012,Q3,922.22
2012,Q4,601.23
2013,Q1,765.23
2013,Q2,5255.31
2013,Q3,910.5
2013,Q4,510.32
2014,Q1,841.25
2014,Q2,5443.21
2014,Q3,925.65
2014,Q4,600.12
2015,Q1,889.45
2015,Q2,5899.5
2015,Q3,939.91
2015,Q4,555.22
2016,Q1,873.65
2016,Q2,6391.21
2016,Q3,888.36
2016,Q4,516.74
2017,Q1,881.55
2017,Q2,6398.11
2017,Q3,917.44
2017,Q4,581.33
2018,Q1,908.4
2018,Q2,6494.66
2018,Q3,927.92
2018,Q4,605.34
2019,Q1,921.73
2019,Q2,6537.97
2019,Q3,947.23
2019,Q4,612.41
2020,Q1,915.07
2020,Q2,7293.49
2020,Q3,990.25
2020,Q4,514.64
2021,Q1,864.05
2021,Q2,7033.45
2021,Q3,945.22
2021,Q4,574.3
2022,Q1,822.97
2022,Q2,6971.13
2022,Q3,988.68
2022,Q4,553.8